Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_SPST_PTS810,2,~,
"C1, C3, C4, C5",0603,4,0.1uF,
"C2, C6, C7",0603,3,10uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
D2,0603,1,LED,
"J1, J3",PinHeader_1x22_P2.54mm_Vertical,2,~,
JUSB1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
"R1, R2, R8",0603,3,5.1k,
"R3, R4, R5",0603,3,10k,
R6,0603,1,1M,
R7,0603,1,200k,
U1,XCVR_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,
U2,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,1,ESD7104MUTAG,
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75801PDRV,
U4,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,1,ENS210,
