Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,120.48,-114.74,0.0,top
C1,119.621,-81.788,0.0,top
C2,119.621,-83.693,0.0,top
C3,133.718,-119.888,180.0,top
C4,119.139,-120.015,0.0,top
C5,118.618,-94.742,270.0,top
C6,133.35,-82.55,90.0,top
C7,128.778,-82.55,90.0,top
D1,121.322,-88.899,0.0,top
D2,133.604,-89.154,90.0,top
J1,115.01,-92.78,0.0,top
J3,137.87,-92.78,0.0,top
JUSB1,126.36,-123.805,0.0,top
R1,119.063,-123.571,180.0,top
R2,133.541,-123.444,0.0,top
R3,128.397,-114.808,90.0,top
R4,121.222,-97.536,0.0,top
R5,124.079,-94.679,270.0,top
R6,128.778,-85.848,90.0,top
R7,131.191,-86.61,180.0,top
R8,133.604,-85.911,270.0,top
RESET1,132.418,-114.994,0.0,top
U1,125.896,-72.629,0.0,top
U2,125.5555,-117.5955,270.0,top
U3,131.042,-83.962,0.0,top
U4,121.351,-94.615,0.0,top
